bugid,summary,component
314701,After prolonged uptime Javascript stops working and FF wont quit,General
315042,two finger scrolling with trackpad on mac laptop stops working,General
315108,Mouse wheel scroll stops working after opening a page with a Java applet,General
316196,Firefox spontaneously uninstalls itself after 3 days of working perfectly,General
316912,Firefox appears unstable when working with National Regulatory Service's site <<www.nrs-inc.com>>,General
317166,Embedded browser search not working,Search
317433,Keyboard navigation keys are not working.,Keyboard Navigation
317461,Microsoft/DigitalPersona Fingerprint Reader stopped working with 1.5RC3,General
317483,plugin not displayed and navigation not working,General
317704,the mouse scroll-wheel stops working when opening a specific URL,General
317935,ALT-0169 keystroke combination not working,General
318874,showModalDialog( ) is not working in Firefox 1.0.7,General
318981,"iMac OS X 10.3, ""Block pop-ups"" is enabled but not working, have not allowed any pop-ups",General
319314,Keyboard function completely lost except for tab and ctrl keys.  No alpha-numeric or punctuation keys are working.,Keyboard Navigation
320031,Popup blocker seems to stop working after many popups have been opened (extended period of use),General
320225,"Different sites, after running awhile, crashes with a MS Error Message for the js3250.dll. The browser stops working and closes. Sometime it leaves a process visable in the MS task monitor which must be killed manually.",General
320343,window freez for 1 or 2 second while working in so many windows,General
320345,window freez for 1 or 2 second while working in so many windows,Disability Access
320467,"Browser returns to wrong history item when using fragments, forms, and the back button. Discovered while working on an AJAX app.",Bookmarks & History
320648,Toolbar not working properly,Bookmarks & History
320728,Popup block still not working,Preferences
320803,touchpad scroll isn't working properly,General
320994,JavaScript command window.status=.. not working at OnMouseOver in td element,General
321398,Quicktime not working,General
322307,Links from outside applications not working,General
322357,eBay Search Options <select> menu not working properly,General
323089,The minimization function is not working properly.,General
323399,'open new window in new tab' not working with javascript pop-up windows anymore,Tabbed Browser
324555,"Quicktime plugin not working, shows a question mark over the ""Q"".",General
325054,the graphics icon is not working. I can see all the graphics using explorer but not mozilla. This applies to all the websites I go to.,General
325302,Get Info not working on a place.,Bookmarks & History
325829,taxcut.com stopped working after 1.5.0.1 upgrade,General
326583,List numbering not working when <ul>/<li> added dinamically with DOM/JS,General
327006,"space character problem (Multiple entry for the same string is stored in the List) , working fine with IE",General
327210,Search Bar Not Working After Updating Firefox,Toolbars and Customization
327485,changing stylesheet class via attribute className is not working,General
327989,focus() in input field during onblur or onchange not working,Address Bar
329389,PDF Services not working...,Shell Integration
329734,edit is not working properly,General
329753,about: URL not working,General
329966,Bookmark this page not working. Ctrl-D is working.,Bookmarks & History
330083,Alt+D in Options dialog (Content tab) not working,Shell Integration
330223,The search page is not working according to specification,Search
330444,client side java script is not working and active x is not loading,General
330907,Linux Mandriva Keyboard Extension Shortcut Hot Keys not working,Menus
331868,Browser History not working,Bookmarks & History
332352,Javascript not working in Firefox,General
333975,PgUp&PgDown scroll keys not working,Keyboard Navigation
333977,PgUp&PgDown scroll keys not working,Keyboard Navigation
335145,mouseover swapImage not working,General
335186,Copy and paste stopped working for no reason,General
335795,"not working (toolbar customization,resizing navigation toolbar...etc.)",General
337092,"GMail registration is not working on ""Save Chat History"" prompt",General
337233,haiku form - 377 not working latest nightly build also.,General
337574,"Quicktime plugin not working, shows a question mark over the ""Q"".",File Handling
337810,XMLHttpRequest's synchronous mode not working,General
338806,deffer script not working,General
339801,Microsoft IME Japanese not working anymore,Shell Integration
340085,The short cut for the Tabbed browser (ctrl+T) is not working,Tabbed Browser
340151,URL search not working!,General
341188,"After 20-30min mouse clicking in any field stops working, no cursor appears",General
341754,Negotiate (SPNEGO) not working on Intel Macs,General
341832,"when I close a tab I can no longer select a tab and view it, also mouse scroll and side scroll up down buttons stop working.",Tabbed Browser
342193,"image-map is not working in certain files with file-extension "".xhtml""",File Handling
342194,"image-map is not working in certain files with file-extension "".xhtml""",File Handling
343407,Stops working,General
343543,The check boxes for different versions of SSL are not working correctly,Preferences
344753,directional keys not working in text fields,Keyboard Navigation
345273,Up and down arrows on scrollbars aren't working,General
345372,Target property is not working for links with a javascript onclick event,General
346297,"Session Restore not working with user_pref(""browser.startup.page"", 2|3);",General
346526,HP Laptop sounds not working and error box on shut down,Shell Integration
346610,Your update completely stopped Mozilla from working,General
346653,"javascript window.open() method does not understand ""width"" option. On firefox 1.5.0.4 all was working perfect.",General
347891,Home and End function (top of page / bottom of page) suddenly stopped working Normally you would press the Apple key + the Home or End key. Doesn't work at all anymore.,Keyboard Navigation
